date,region,product,units,revenue
2023-05-05,West,Gamma,52,1498.73
2023-05-06,West,Gamma,47,1569.33
2023-05-07,East,Delta,9,1345.72
2023-05-08,West,Gamma,43,1496.67
2023-05-09,South,Alpha,7,1467.55
2023-05-10,South,Alpha,34,1491.76
2023-05-11,West,Delta,55,1462.87
2023-05-12,South,Epsilon,13,1514.49
2023-05-13,South,Beta,11,1657.81
2023-05-14,North,Beta,25,1478.4
2023-05-15,South,Beta,22,1527.99
2023-05-16,East,Beta,3,1664.54
2023-05-17,West,Beta,27,1461.22
2023-05-18,North,Gamma,16,1650.62
2023-05-19,East,Delta,8,1506.05
2023-05-20,West,Delta,17,1648.32
2023-05-21,West,Epsilon,2,1565.88
2023-05-22,West,Beta,54,1530.49
2023-05-23,North,Gamma,59,1500.7
2023-05-24,South,Beta,22,1456.01
2023-05-25,West,Alpha,52,1511.95
2023-05-26,West,Beta,28,1577.58
2023-05-27,East,Beta,54,1504.62
2023-05-28,West,Gamma,11,1480.19
2023-05-29,East,Alpha,17,1485.27
2023-05-30,North,Delta,44,1584.51
2023-05-31,West,Epsilon,13,1602.87
2023-06-01,North,Epsilon,49,1451.2
2023-06-02,South,Alpha,26,1450.77
2023-06-03,North,Alpha,24,1534.27
2023-06-04,East,Epsilon,27,1625.75
2023-06-05,North,Epsilon,48,1594.83
2023-06-06,East,Gamma,1,1402.58
2023-06-07,West,Beta,45,1481.15
2023-06-08,West,Gamma,46,1427.36
2023-06-09,South,Gamma,49,1479.91
2023-06-10,West,Epsilon,59,1629.14
2023-06-11,South,Gamma,47,1386.44
2023-06-12,East,Alpha,32,1370.18
2023-06-13,East,Delta,28,1432.82
2023-06-14,North,Delta,23,1521.49
2023-06-15,North,Beta,49,1547.55
2023-06-16,North,Alpha,24,1532.26
2023-06-17,West,Alpha,34,1590.67
2023-06-18,West,Epsilon,6,1354.9
2023-06-19,South,Gamma,19,1590.34
2023-06-20,West,Gamma,16,1469.61
2023-06-21,North,Epsilon,26,1552.4
2023-06-22,West,Alpha,30,1387.29
2023-06-23,North,Beta,43,1492.84
2023-06-24,North,Epsilon,26,1510.61
2023-06-25,West,Gamma,9,1583.43
2023-06-26,South,Alpha,33,1363.41
2023-06-27,South,Delta,4,1491.93
2023-06-28,West,Alpha,51,1401.9
2023-06-29,South,Delta,46,1528.4
2023-06-30,West,Delta,14,1549.37
2023-07-01,North,Epsilon,16,1589.4
2023-07-02,North,Gamma,2,1442.86
2023-07-03,South,Beta,22,1559.08
2023-07-04,East,Epsilon,3,1593.01
2023-07-05,North,Gamma,56,1351.92
2023-07-06,North,Delta,8,1531.61
2023-07-07,East,Alpha,39,1558.55
2023-07-08,South,Delta,34,1460.42
2023-07-09,South,Gamma,14,1383.52
2023-07-10,North,Beta,48,1555.08
2023-07-11,North,Delta,7,1382.96
2023-07-12,North,Alpha,53,1463.94
2023-07-13,East,Delta,44,1474.29
2023-07-14,North,Epsilon,38,1534.05
2023-07-15,North,Gamma,52,1426.0
2023-07-16,West,Alpha,24,1420.69
2023-07-17,South,Gamma,17,1482.72
2023-07-18,East,Gamma,10,1554.68
2023-07-19,South,Gamma,55,1656.55
2023-07-20,West,Beta,24,1352.35
2023-07-21,West,Delta,49,1497.59
2023-07-22,South,Beta,20,1384.87
2023-07-23,East,Gamma,57,1552.75
2023-07-24,South,Gamma,52,1395.64
2023-07-25,West,Delta,19,1416.25
2023-07-26,South,Delta,29,1422.6
2023-07-27,West,Epsilon,47,1463.19
2023-07-28,East,Delta,14,1494.72
2023-07-29,East,Delta,2,1507.15
2023-07-30,South,Epsilon,18,1467.62
2023-07-31,West,Beta,35,1361.34
2023-08-01,East,Beta,9,1525.63
2023-08-02,West,Gamma,20,1462.88
2023-08-03,West,Gamma,55,1559.8
2023-08-04,North,Delta,5,1410.01
2023-08-05,West,Alpha,3,1338.25
2023-08-06,West,Alpha,26,1463.55
2023-08-07,North,Delta,1,1569.81
2023-08-08,West,Epsilon,2,1478.92
2023-08-09,East,Beta,11,1450.01
2023-08-10,South,Beta,7,1396.33
2023-08-11,North,Gamma,48,1606.59
2023-08-12,South,Gamma,8,1383.66
2023-08-13,North,Alpha,31,1408.08
2023-08-14,East,Gamma,42,1511.85
2023-08-15,East,Epsilon,37,1317.93
2023-08-16,East,Delta,39,1568.59
2023-08-17,East,Epsilon,22,1516.81
2023-08-18,South,Delta,53,1539.11
2023-08-19,East,Epsilon,5,1512.16
2023-08-20,West,Beta,7,1455.0
2023-08-21,North,Alpha,51,1383.26
2023-08-22,South,Alpha,5,1457.58
2023-08-23,West,Epsilon,12,1391.28
2023-08-24,West,Delta,11,1508.76
2023-08-25,West,Beta,2,1535.02
2023-08-26,North,Epsilon,7,1589.28
2023-08-27,South,Beta,34,1501.58
2023-08-28,North,Gamma,40,1546.56
2023-08-29,West,Beta,5,1449.62
2023-08-30,East,Alpha,56,1435.99
2023-08-31,North,Beta,6,1513.05
2023-09-01,North,Beta,41,1445.19
2023-09-02,East,Gamma,48,1498.65
2023-09-03,West,Alpha,31,1393.28
2023-09-04,West,Beta,30,1408.76
2023-09-05,West,Gamma,7,1531.28
2023-09-06,West,Beta,15,1552.6
2023-09-07,West,Delta,51,1404.09
2023-09-08,West,Delta,21,1537.91
2023-09-09,West,Epsilon,3,1443.03
2023-09-10,South,Epsilon,44,1488.4
2023-09-11,West,Beta,41,1601.93
2023-09-12,West,Delta,4,1554.72
2023-09-13,North,Delta,4,1555.39
2023-09-14,East,Gamma,7,1646.08
2023-09-15,South,Delta,4,1438.78
2023-09-16,North,Alpha,37,1418.0
2023-09-17,North,Beta,8,1440.93
2023-09-18,North,Epsilon,36,1480.22
2023-09-19,West,Epsilon,11,1314.17
2023-09-20,West,Alpha,58,1487.94
2023-09-21,North,Gamma,43,1463.03
2023-09-22,East,Beta,23,1571.41
2023-09-23,East,Alpha,26,1539.09
2023-09-24,East,Alpha,4,1465.07
2023-09-25,East,Gamma,4,1562.62
2023-09-26,West,Delta,32,1575.64
2023-09-27,East,Gamma,2,1458.71
2023-09-28,East,Beta,38,1483.22
2023-09-29,East,Delta,23,1347.17
2023-09-30,South,Delta,9,1440.53
2023-10-01,West,Epsilon,32,1471.04
2023-10-02,South,Beta,33,1539.08
2023-10-03,West,Beta,45,1460.28
2023-10-04,East,Gamma,12,1497.66
2023-10-05,East,Gamma,33,1443.6
2023-10-06,West,Gamma,50,1558.26
2023-10-07,East,Epsilon,16,1581.63
2023-10-08,East,Alpha,50,1582.83
2023-10-09,East,Gamma,43,1554.75
2023-10-10,East,Gamma,26,1433.65
2023-10-11,South,Beta,53,1510.58
2023-10-12,East,Delta,58,1530.89
2023-10-13,West,Epsilon,14,1534.57
2023-10-14,East,Gamma,58,1576.24
2023-10-15,West,Alpha,1,1687.76
2023-10-16,West,Alpha,8,1642.21
2023-10-17,South,Gamma,3,1501.83
2023-10-18,North,Delta,22,1638.75
2023-10-19,South,Beta,56,1639.4
2023-10-20,West,Beta,36,1527.44
2023-10-21,West,Epsilon,37,1663.65
2023-10-22,East,Alpha,6,1586.78
2023-10-23,West,Alpha,31,1490.73
2023-10-24,North,Alpha,23,1643.92
2023-10-25,East,Epsilon,29,1628.9
2023-10-26,East,Gamma,16,1597.41
2023-10-27,East,Alpha,12,1616.77
2023-04-09,West,Delta,1,1502.59
2023-09-17,North,Beta,8,1440.93
2023-07-04,East,Epsilon,3,1593.01
2023-09-14,East,Gamma,7,1646.08
2023-01-30,South,Beta,50,1195.42
2023-09-12,West,Delta,4,1554.72
2023-01-08,East,Gamma,9,1073.03
2023-01-14,West,Gamma,18,1148.26
2023-08-19,East,Epsilon,5,1512.16
2023-04-02,East,Epsilon,6,1321.34
2023-10-12,East,Delta,58,1530.89
2023-05-08,West,Gamma,43,1496.67
2023-01-31,West,Gamma,10,1223.79
2023-08-30,East,Alpha,56,1435.99
2023-04-24,East,Delta,28,1325.84
2023-03-26,South,Epsilon,30,1421.46
2023-04-10,West,Delta,11,1507.36
2023-05-21,West,Epsilon,2,1565.88
2023-05-25,West,Alpha,52,1511.95
2023-04-05,West,Delta,45,1452.84
2023-02-05,East,Epsilon,8,1201.34
2023-01-04,West,Delta,14,1185.36
2023-06-23,North,Beta,43,1492.84
2023-06-25,West,Gamma,9,1583.43
2023-08-04,North,Delta,5,1410.01
2023-03-31,West,Gamma,23,1458.35
2023-07-23,East,Gamma,57,1552.75
2023-07-13,East,Delta,44,1474.29
2023-09-24,East,Alpha,4,1465.07
2023-10-09,East,Gamma,43,1554.75
2023-05-12,South,Epsilon,13,1514.49
2023-07-29,East,Delta,2,1507.15
2023-09-29,East,Delta,23,1347.17
2023-06-11,South,Gamma,47,1386.44
2023-06-26,South,Alpha,33,1363.41
2023-06-24,North,Epsilon,26,1510.61
2023-09-03,West,Alpha,31,1393.28
2023-10-17,South,Gamma,3,1501.83
2023-03-16,West,Epsilon,27,1511.14
2023-04-20,North,Alpha,31,1571.91
2023-06-05,North,Epsilon,48,1594.83
2023-03-07,North,Delta,46,1472.2
2023-02-11,West,Delta,37,1330.62
2023-01-12,East,Beta,36,1014.52
2023-10-21,West,Epsilon,37,1663.65
2023-08-29,West,Beta,5,1449.62
2023-05-11,West,Delta,55,1462.87
2023-04-25,West,Delta,58,1482.21
2023-03-19,West,Alpha,36,1375.9
2023-06-21,North,Epsilon,26,1552.4
2023-08-24,West,Delta,11,1508.76
2023-09-30,South,Delta,9,1440.53
2023-05-15,South,Beta,22,1527.99
2023-08-03,West,Gamma,55,1559.8
2023-06-01,North,Epsilon,49,1451.2
2023-01-11,East,Beta,37,1132.29
2023-06-09,South,Gamma,49,1479.91
2023-07-19,South,Gamma,55,1656.55
2023-08-21,North,Alpha,51,1383.26
2023-06-30,West,Delta,14,1549.37
2023-03-08,North,Epsilon,35,1300.12
2023-06-13,East,Delta,28,1432.82
2023-07-25,West,Delta,19,1416.25
2023-02-23,South,Beta,39,1374.66
2023-09-04,West,Beta,30,1408.76
2023-01-24,East,Gamma,41,1260.05
2023-06-10,West,Epsilon,59,1629.14
2023-06-07,West,Beta,45,1481.15
2023-05-07,East,Delta,9,1345.72
2023-06-06,East,Gamma,1,1402.58
2023-04-17,West,Epsilon,10,1540.03
2023-07-21,West,Delta,49,1497.59
2023-08-14,East,Gamma,42,1511.85
2023-02-24,East,Beta,7,1330.59
2023-01-05,East,Delta,15,977.8
2023-06-04,East,Epsilon,27,1625.75
2023-10-11,South,Beta,53,1510.58
2023-06-16,North,Alpha,24,1532.26
2023-05-28,West,Gamma,11,1480.19
2023-08-13,North,Alpha,31,1408.08
2023-04-15,North,Beta,4,1560.94
2023-01-25,West,Alpha,14,1210.41
2023-10-07,East,Epsilon,16,1581.63
2023-04-23,North,Alpha,56,1495.61
2023-06-02,South,Alpha,26,1450.77
2023-01-21,East,Alpha,59,1116.44
2023-01-29,East,Beta,21,1051.61
2023-07-11,North,Delta,7,1382.96
2023-05-09,South,Alpha,7,1467.55
2023-03-13,East,Epsilon,22,1314.27
2023-10-06,West,Gamma,50,1558.26
2023-08-11,North,Gamma,48,1606.59
2023-07-02,North,Gamma,2,1442.86
2023-03-06,South,Epsilon,23,1359.29
2023-01-15,East,Delta,23,1172.89
2023-08-16,East,Delta,39,1568.59
2023-05-01,West,Alpha,52,1450.37
2023-01-19,South,Delta,32,1138.36
2023-03-27,West,Epsilon,37,1512.39
2023-10-26,East,Gamma,16,1597.41
2023-05-14,North,Beta,25,1478.4
2023-01-26,East,Gamma,41,1052.94
2023-10-13,West,Epsilon,14,1534.57
2023-04-14,South,Gamma,43,1605.85
2023-06-03,North,Alpha,24,1534.27
2023-10-01,West,Epsilon,32,1471.04
2023-07-12,North,Alpha,53,1463.94
2023-08-08,West,Epsilon,2,1478.92
2023-03-11,East,Delta,4,1403.11
2023-06-19,South,Gamma,19,1590.34
2023-04-29,North,Alpha,8,1533.8
2023-02-14,North,Alpha,22,1204.65
2023-01-07,South,Beta,46,969.47
2023-08-17,East,Epsilon,22,1516.81
2023-01-13,West,Gamma,48,1139.55
2023-04-04,East,Gamma,23,1381.38
2023-04-12,East,Epsilon,32,1498.78
2023-07-01,North,Epsilon,16,1589.4
2023-06-20,West,Gamma,16,1469.61
2023-01-06,West,Beta,5,1014.89
2023-05-23,North,Gamma,59,1500.7
2023-01-03,North,Gamma,41,972.34
2023-03-21,West,Epsilon,33,1464.64
2023-03-09,East,Epsilon,56,1360.03
2023-07-14,North,Epsilon,38,1534.05
2023-04-26,South,Gamma,31,1436.47
2023-06-14,North,Delta,23,1521.49
2023-06-29,South,Delta,46,1528.4
2023-04-28,South,Gamma,44,1607.06
2023-10-14,East,Gamma,58,1576.24
2023-05-22,West,Beta,54,1530.49
2023-10-10,East,Gamma,26,1433.65
2023-06-28,West,Alpha,51,1401.9
2023-07-24,South,Gamma,52,1395.64
2023-04-01,North,Gamma,47,1496.37
2023-09-11,West,Beta,41,1601.93
2023-01-10,South,Beta,21,1043.47
2023-02-07,West,Epsilon,15,1060.35
2023-10-25,East,Epsilon,29,1628.9
2023-02-15,West,Epsilon,34,1114.99
2023-06-22,West,Alpha,30,1387.29
2023-08-25,West,Beta,2,1535.02
2023-10-24,North,Alpha,23,1643.92
2023-07-08,South,Delta,34,1460.42
2023-02-18,North,Gamma,23,1242.54
2023-02-12,South,Gamma,40,1197.64
2023-09-01,North,Beta,41,1445.19
2023-02-27,North,Delta,41,1259.31
2023-05-26,West,Beta,28,1577.58
2023-05-03,West,Alpha,50,1576.75
2023-09-22,East,Beta,23,1571.41
2023-04-16,East,Beta,59,1389.77
2023-09-28,East,Beta,38,1483.22
2023-07-03,South,Beta,22,1559.08
2023-07-17,South,Gamma,17,1482.72
2023-07-26,South,Delta,29,1422.6
2023-01-02,North,Gamma,58,882.64
2023-05-20,West,Delta,17,1648.32
2023-04-22,West,Beta,42,1500.5
2023-10-03,West,Beta,45,1460.28
2023-09-26,West,Delta,32,1575.64
2023-04-18,North,Gamma,27,1549.49
2023-01-09,West,Beta,17,993.34
2023-08-15,East,Epsilon,37,1317.93
2023-10-08,East,Alpha,50,1582.83
2023-07-09,South,Gamma,14,1383.52
2023-01-22,North,Gamma,11,1244.19
2023-10-05,East,Gamma,33,1443.6
2023-10-18,North,Delta,22,1638.75
2023-08-05,West,Alpha,3,1338.25
2023-04-30,East,Gamma,38,1492.14
2023-09-08,West,Delta,21,1537.91
2023-10-20,West,Beta,36,1527.44
2023-09-15,South,Delta,4,1438.78
2023-03-20,North,Alpha,34,1512.31
2023-09-16,North,Alpha,37,1418.0
2023-02-16,North,Epsilon,3,1277.59
2023-04-19,West,Delta,49,1504.97
2023-09-02,East,Gamma,48,1498.65
2023-10-22,East,Alpha,6,1586.78
2023-09-19,West,Epsilon,11,1314.17
2023-03-24,East,Alpha,4,1456.71
2023-10-02,South,Beta,33,1539.08
2023-05-16,East,Beta,3,1664.54
2023-09-25,East,Gamma,4,1562.62
2023-04-21,North,Alpha,44,1498.0
2023-10-19,South,Beta,56,1639.4
2023-08-06,West,Alpha,26,1463.55
2023-02-06,South,Beta,32,1094.63
2023-04-03,East,Beta,51,1393.68
2023-07-06,North,Delta,8,1531.61
2023-08-23,West,Epsilon,12,1391.28
2023-03-04,East,Gamma,34,1369.75
2023-01-01,West,Delta,19,1072.87
2023-01-28,West,Delta,22,1065.58
2023-04-11,East,Delta,37,1495.8
2023-06-27,South,Delta,4,1491.93
2023-07-07,East,Alpha,39,1558.55
2023-08-10,South,Beta,7,1396.33
2023-05-29,East,Alpha,17,1485.27
