date,region,product,units,revenue,note
2023-04-01,east,Beta,59,1517.44,דבַֽÙֹ
2023-04-02,east,Alpha,56,1651.52,דבַֽÙֹ
2023-04-03,south,Beta,19,1618.0,דבַֽÙֹ
2023-04-04,north,Epsilon,45,1563.25,דבַֽÙֹ
2023-04-05,south,Beta,13,1627.02,דבַֽÙֹ
2023-04-06,west,Epsilon,28,1488.39,דבַֽÙֹ
2023-04-07,west,Beta,15,1587.56,דבַֽÙֹ
2023-04-08,west,Alpha,29,1600.41,דבַֽÙֹ
2023-04-09,north,Beta,52,1554.64,דבַֽÙֹ
2023-04-10,east,Beta,26,1630.6,דבַֽÙֹ
2023-04-11,north,Alpha,6,1536.8,דבַֽÙֹ
2023-04-12,east,Gamma,20,1643.45,דבַֽÙֹ
2023-04-13,south,Beta,47,1650.17,דבַֽÙֹ
2023-04-14,east,Delta,31,,דבַֽÙֹ
2023-04-15,east,Gamma,34,,דבַֽÙֹ
2023-04-16,west,Gamma,26,1371.95,דבַֽÙֹ
2023-04-17,south,Gamma,18,1569.61,דבַֽÙֹ
2023-04-18,south,Alpha,36,1703.99,דבַֽÙֹ
2023-04-19,east,Delta,38,1599.6,דבַֽÙֹ
2023-04-20,north,Alpha,53,1510.65,דבַֽÙֹ
2023-04-21,north,Delta,37,1543.35,דבַֽÙֹ
2023-04-22,east,Epsilon,59,1715.85,דבַֽÙֹ
2023-04-23,west,Delta,49,1482.77,דבַֽÙֹ
2023-04-24,east,Gamma,5,1729.55,דבַֽÙֹ
2023-04-25,west,Beta,24,1637.51,דבַֽÙֹ
2023-04-26,north,Epsilon,23,1549.15,דבַֽÙֹ
2023-04-27,south,Beta,1,1600.47,דבַֽÙֹ
2023-04-28,east,Gamma,11,1568.27,דבַֽÙֹ
2023-04-29,south,Delta,45,1721.41,דבַֽÙֹ
2023-04-30,north,Epsilon,21,1713.12,דבַֽÙֹ
2023-05-01,north,Epsilon,9,1519.36,דבַֽÙֹ
2023-05-02,west,Alpha,17,1626.92,דבַֽÙֹ
2023-05-03,east,Epsilon,17,1592.41,דבַֽÙֹ
2023-05-04,south,Alpha,11,1767.16,דבַֽÙֹ
2023-05-05,south,Gamma,6,1557.83,דבַֽÙֹ
2023-05-06,north,Epsilon,46,1796.29,דבַֽÙֹ
2023-05-07,west,Delta,49,,דבַֽÙֹ
2023-05-08,north,Epsilon,30,1579.07,דבַֽÙֹ
2023-05-09,west,Beta,37,1619.81,דבַֽÙֹ
2023-05-10,north,Beta,55,1611.78,דבַֽÙֹ
2023-05-11,south,Beta,50,1575.82,דבַֽÙֹ
2023-05-12,south,Beta,2,,דבַֽÙֹ
2023-05-13,west,Delta,57,1583.16,דבַֽÙֹ
2023-05-14,north,Gamma,4,1508.7,דבַֽÙֹ
2023-05-15,south,Delta,2,1654.45,דבַֽÙֹ
2023-05-16,south,Gamma,24,1542.24,דבַֽÙֹ
2023-05-17,south,Beta,45,,דבַֽÙֹ
2023-05-18,north,Alpha,5,1616.92,דבַֽÙֹ
2023-05-19,west,Gamma,18,1621.47,דבַֽÙֹ
2023-05-20,south,Epsilon,16,1852.73,דבַֽÙֹ
2023-05-21,south,Epsilon,24,1698.61,דבַֽÙֹ
2023-05-22,south,Beta,59,1715.13,דבַֽÙֹ
2023-05-23,west,Gamma,20,1554.76,דבַֽÙֹ
2023-05-24,south,Delta,13,1645.88,דבַֽÙֹ
2023-05-25,south,Delta,8,1716.72,דבַֽÙֹ
2023-05-26,south,Alpha,12,1618.79,דבַֽÙֹ
2023-05-27,south,Gamma,8,1774.62,דבַֽÙֹ
2023-05-28,north,Alpha,34,,דבַֽÙֹ
2023-05-29,east,Alpha,25,1681.41,דבַֽÙֹ
2023-05-30,north,Delta,30,1658.56,דבַֽÙֹ
2023-05-31,north,Alpha,50,1719.68,דבַֽÙֹ
2023-06-01,north,Beta,35,,דבַֽÙֹ
2023-06-02,south,Gamma,10,1686.95,דבַֽÙֹ
2023-06-03,west,Delta,23,,דבַֽÙֹ
2023-06-04,east,Gamma,19,1651.85,דבַֽÙֹ
2023-06-05,west,Alpha,49,1750.36,דבַֽÙֹ
2023-06-06,south,Delta,19,1731.54,דבַֽÙֹ
2023-06-07,west,Epsilon,9,,דבַֽÙֹ
2023-06-08,north,Epsilon,44,1679.8,דבַֽÙֹ
2023-06-09,east,Delta,26,1778.81,דבַֽÙֹ
2023-06-10,west,Gamma,6,1697.05,דבַֽÙֹ
2023-06-11,east,Epsilon,41,,דבַֽÙֹ
2023-06-12,west,Gamma,13,1725.88,דבַֽÙֹ
2023-06-13,south,Alpha,52,1853.99,דבַֽÙֹ
2023-06-14,north,Epsilon,50,1611.78,דבַֽÙֹ
2023-06-15,west,Beta,22,1781.33,דבַֽÙֹ
2023-06-16,north,Epsilon,33,,דבַֽÙֹ
2023-06-17,west,Beta,34,1738.53,דבַֽÙֹ
2023-06-18,east,Epsilon,39,1847.83,דבַֽÙֹ
2023-06-19,west,Gamma,5,1761.59,דבַֽÙֹ
2023-06-20,south,Gamma,20,1736.8,דבַֽÙֹ
2023-06-21,west,Beta,11,1678.95,דבַֽÙֹ
2023-06-22,north,Epsilon,42,,דבַֽÙֹ
2023-06-23,south,Alpha,5,1704.88,דבַֽÙֹ
2023-06-24,north,Gamma,31,1662.78,דבַֽÙֹ
2023-06-25,west,Beta,43,,דבַֽÙֹ
2023-06-26,east,Gamma,56,,דבַֽÙֹ
2023-06-27,west,Beta,17,1666.08,דבַֽÙֹ
2023-06-28,west,Delta,1,1663.54,דבַֽÙֹ
2023-06-29,south,Beta,43,1619.81,דבַֽÙֹ
2023-06-30,north,Alpha,1,1760.47,דבַֽÙֹ
2023-07-01,west,Alpha,4,1773.41,דבַֽÙֹ
2023-07-02,south,Delta,59,1748.9,דבַֽÙֹ
2023-07-03,north,Beta,51,1808.16,דבַֽÙֹ
2023-07-04,west,Beta,42,1738.56,דבַֽÙֹ
2023-07-05,west,Delta,50,,דבַֽÙֹ
2023-07-06,south,Beta,5,1757.01,דבַֽÙֹ
2023-07-07,west,Beta,6,1725.97,דבַֽÙֹ
2023-07-08,north,Beta,18,1691.42,דבַֽÙֹ
2023-07-09,north,Beta,2,1911.63,דבַֽÙֹ
2023-07-10,south,Delta,53,1698.95,דבַֽÙֹ
2023-07-11,east,Gamma,4,1682.45,דבַֽÙֹ
2023-07-12,north,Epsilon,33,1771.07,דבַֽÙֹ
2023-07-13,north,Delta,51,1757.14,דבַֽÙֹ
2023-07-14,east,Alpha,44,1625.26,דבַֽÙֹ
2023-07-15,west,Beta,14,1828.12,דבַֽÙֹ
2023-07-16,east,Beta,28,1731.45,דבַֽÙֹ
2023-07-17,west,Gamma,33,1650.8,דבַֽÙֹ
2023-07-18,west,Beta,46,1835.49,דבַֽÙֹ
2023-07-19,east,Epsilon,26,1791.16,דבַֽÙֹ
