employee_id,department,tenure_years,salary,attrition
90,Engineering,9.4,55473.0,no
91,Finance,8.5,84500.0,no
92,Support,11.6,60174.0,no
93,Engineering,11.6,84983.0,no
94,Sales,3.3,63008.0,no
95,Sales,9.2,76129.0,no
96,Engineering,3.8,47615.0,no
97,Finance,7.6,77425.0,no
98,Finance,7.2,45859.0,no
99,Finance,0.7,31173.0,no
100,Sales,0.1,39644.0,no
101,Support,0.7,31299.0,no
102,Sales,1.5,86824.0,no
103,Sales,3.1,89999.0,no
104,Support,10.9,75734.0,yes
105,Sales,6.2,36488.0,no
106,Finance,9.6,83937.0,yes
107,Engineering,10.1,74627.0,no
108,Engineering,8.8,49935.0,yes
109,Finance,4.7,60137.0,no
110,Finance,10.4,69706.0,no
111,Finance,8.9,31443.0,no
112,Sales,8.9,60092.0,no
113,Sales,10.8,73944.0,no
114,Engineering,7.2,41294.0,no
115,Sales,6.3,56627.0,yes
116,Support,10.7,61952.0,no
117,Sales,5.5,74134.0,no
118,Sales,9.7,87867.0,no
119,Engineering,0.6,80897.0,no
120,Sales,0.0,67291.0,no
121,Support,6.3,65018.0,no
122,Support,0.9,66191.0,no
123,Support,11.7,62711.0,no
124,Finance,0.1,33562.0,no
125,Engineering,8.6,71898.0,no
126,Sales,2.9,72980.0,yes
127,Support,11.6,60749.0,no
128,Sales,4.6,82223.0,no
129,Finance,0.3,70346.0,no
130,Engineering,0.3,51760.0,no
131,Engineering,6.6,31182.0,no
132,Sales,11.8,33550.0,no
133,Sales,11.8,51108.0,no
134,Finance,4.0,57726.0,no
135,Sales,5.8,40012.0,no
136,Sales,1.2,41360.0,no
137,Engineering,6.3,43813.0,no
138,Sales,7.2,76831.0,no
139,Support,3.0,76277.0,no
140,Support,7.3,52976.0,no
141,Support,10.8,40342.0,no
142,Sales,0.0,36655.0,no
143,Engineering,2.7,35228.0,no
144,Engineering,2.5,53477.0,no
145,Engineering,1.5,32733.0,no
146,Support,2.0,50018.0,yes
147,Finance,7.5,87692.0,no
148,Finance,1.2,60450.0,no
149,Sales,8.9,79359.0,no
150,Engineering,10.6,37756.0,yes
151,Support,11.1,46085.0,no
152,Engineering,7.9,86793.0,yes
153,Support,2.4,53013.0,no
154,Sales,1.0,68904.0,no
155,Finance,2.8,88568.0,no
156,Support,11.5,63047.0,no
157,Support,11.5,48321.0,no
158,Sales,4.6,61917.0,no
159,Finance,3.9,33278.0,no
160,Support,6.1,36742.0,no
161,Support,3.5,30430.0,no
162,Sales,11.8,83053.0,no
163,Sales,2.7,70277.0,no
164,Finance,4.4,47900.0,no
165,Sales,5.2,43270.0,no
166,Engineering,1.5,70985.0,no
167,Sales,4.6,85172.0,no
168,Sales,10.3,47948.0,no
169,Sales,1.7,49294.0,no
170,Engineering,7.0,81254.0,no
171,Engineering,4.9,83603.0,no
172,Sales,2.0,84842.0,no
173,Sales,0.1,47589.0,no
174,Engineering,3.3,37219.0,no
175,Sales,0.7,56400.0,no
176,Sales,4.5,47746.0,no
177,Engineering,9.7,83032.0,yes
178,Sales,8.6,32198.0,yes
179,Sales,11.4,68033.0,no
180,Engineering,5.1,84371.0,yes
181,Finance,8.5,88600.0,no
182,Engineering,8.0,69008.0,no
183,Support,2.6,86995.0,no
184,Support,3.6,34540.0,no
185,Finance,6.4,51557.0,no
186,Support,9.6,30523.0,no
187,Support,5.5,88871.0,no
188,Finance,2.7,84164.0,yes
189,Finance,11.9,31683.0,no
190,Engineering,1.4,31088.0,no
191,Finance,11.5,52018.0,no
192,Sales,9.7,45512.0,no
193,Engineering,10.1,80816.0,no
194,Support,9.5,39629.0,yes
195,Finance,2.5,77439.0,no
196,Engineering,7.6,63268.0,yes
197,Engineering,9.1,52644.0,no
198,Finance,8.9,38743.0,no
199,Support,3.3,89861.0,yes
200,Engineering,2.2,67079.0,no
201,Finance,3.9,56363.0,yes
202,Sales,5.8,52268.0,no
203,Sales,6.9,84344.0,yes
204,Sales,10.0,79272.0,no
205,Support,9.2,78671.0,no
206,Engineering,8.1,66972.0,yes
207,Sales,3.2,83277.0,no
208,Sales,5.7,47957.0,yes
209,Engineering,4.0,72222.0,no
210,Finance,2.8,54267.0,no
211,Engineering,0.1,66000.0,no
212,Finance,4.1,89889.0,no
213,Engineering,3.1,89071.0,yes
214,Sales,6.9,60757.0,no
215,Engineering,0.7,64432.0,no
216,Sales,3.2,83839.0,no
217,Support,0.5,89138.0,yes
218,Engineering,7.7,76716.0,no
219,Support,6.8,33911.0,no
220,Finance,4.0,49358.0,no
221,Sales,1.8,83794.0,no
222,Engineering,11.5,76101.0,no
223,Support,7.0,74534.0,no
224,Engineering,8.1,70075.0,no
225,Engineering,6.4,54916.0,no
226,Sales,9.7,54194.0,yes
227,Sales,10.8,78536.0,no
228,Engineering,4.6,47627.0,no
229,Finance,8.3,71090.0,no
230,Support,2.8,73573.0,no
231,Finance,7.8,80673.0,no
232,Sales,4.8,49193.0,no
233,Sales,0.1,74513.0,no
234,Finance,11.5,36389.0,no
235,Engineering,10.4,38284.0,no
236,Sales,3.5,55040.0,no
237,Finance,12.0,33314.0,no
238,Sales,3.8,86862.0,no
239,Finance,5.5,84114.0,no
240,Sales,10.2,32936.0,no
241,Sales,3.7,80299.0,no
242,Finance,5.4,60532.0,no
243,Engineering,8.0,72118.0,no
244,Finance,1.6,83216.0,no
245,Engineering,5.1,64618.0,no
246,Sales,3.7,36980.0,no
247,Support,8.1,30155.0,no
248,Support,1.6,59815.0,no
249,Finance,2.8,86954.0,yes
250,Finance,8.5,64357.0,no
251,Support,1.9,52376.0,no
252,Support,5.1,31855.0,no
253,Sales,8.6,84899.0,no
254,Finance,9.2,49629.0,no
255,Support,1.1,72287.0,no
256,Engineering,10.2,71654.0,no
257,Finance,8.7,45233.0,no
258,Sales,4.1,33827.0,no
259,Sales,9.2,53100.0,no
260,Sales,8.7,49028.0,no
261,Finance,7.2,72015.0,yes
262,Sales,6.7,79187.0,no
263,Sales,8.8,43347.0,no
264,Engineering,12.0,61694.0,no
265,Sales,6.9,32437.0,no
266,Engineering,9.7,42855.0,no
267,Support,8.9,75706.0,no
268,Finance,10.3,77604.0,no
269,Sales,11.5,76584.0,no
270,Finance,2.3,38543.0,no
271,Finance,2.0,63062.0,no
272,Engineering,7.0,55363.0,no
273,Support,5.4,89489.0,no
274,Support,6.8,69244.0,no
275,Sales,9.6,86112.0,no
276,Finance,11.2,38721.0,no
277,Sales,5.0,57052.0,no
278,Engineering,8.6,76296.0,no
279,Support,2.4,52071.0,no
280,Engineering,6.4,67951.0,no
281,Sales,0.3,60702.0,no
282,Support,6.0,89516.0,no
283,Support,6.5,40432.0,no
284,Sales,8.8,86121.0,no
285,Sales,7.8,54094.0,no
286,Engineering,4.3,58080.0,yes
287,Sales,0.1,61716.0,no
288,Support,1.4,45922.0,no
289,Support,11.7,87819.0,no
290,Sales,11.1,84689.0,no
291,Engineering,3.9,88374.0,no
292,Support,3.1,89815.0,no
293,Support,5.2,70188.0,no
294,Engineering,8.3,57101.0,no
295,Support,4.3,81044.0,yes
296,Engineering,0.8,31428.0,no
297,Sales,4.8,80064.0,no
298,Support,3.1,59837.0,no
299,Support,3.9,70393.0,no
300,Support,2.0,52443.0,no
301,Finance,7.9,52117.0,no
302,Engineering,6.3,31903.0,no
303,Finance,3.3,55427.0,no
304,Sales,6.6,54501.0,yes
305,Sales,5.9,43487.0,no
306,Finance,9.6,44839.0,no
307,Sales,11.5,65048.0,no
308,Engineering,1.6,49066.0,no
309,Support,10.6,79815.0,no
310,Support,8.5,36683.0,no
311,Support,8.3,64659.0,no
312,Engineering,4.5,39603.0,yes
313,Support,4.1,61694.0,no
314,Engineering,0.1,63153.0,no
315,Support,11.8,68538.0,no
316,Support,7.3,55645.0,no
317,Finance,4.8,60568.0,no
318,Finance,6.5,40857.0,no
319,Engineering,0.5,57781.0,no
320,Engineering,2.1,52382.0,no
321,Support,7.5,69968.0,no
322,Finance,6.2,56089.0,no
323,Engineering,9.4,76760.0,no
324,Sales,7.9,55560.0,no
325,Sales,7.2,44146.0,no
326,Sales,9.8,46421.0,no
327,Support,0.8,32717.0,yes
328,Sales,8.3,62395.0,no
329,Sales,8.6,79853.0,no
330,Finance,3.3,76147.0,no
331,Sales,2.3,56267.0,no
332,Engineering,2.6,41767.0,no
333,Finance,2.4,81809.0,no
334,Sales,6.3,33407.0,no
335,Finance,1.6,53953.0,no
336,Finance,7.9,81397.0,no
337,Support,1.3,53591.0,yes
338,Engineering,0.3,37073.0,no
339,Finance,3.8,45957.0,yes
340,Support,2.3,66002.0,no
341,Sales,11.9,39122.0,no
342,Finance,3.6,69296.0,no
343,Finance,2.7,56290.0,no
344,Finance,2.4,50063.0,no
345,Engineering,4.5,44456.0,no
346,Support,7.3,79400.0,no
347,Sales,9.4,53800.0,yes
348,Engineering,4.4,74309.0,no
349,Sales,7.5,56421.0,no
350,Engineering,5.8,35512.0,no
351,Engineering,10.2,56430.0,no
352,Support,6.8,60461.0,yes
353,Support,3.5,57471.0,no
354,Sales,8.4,78975.0,no
355,Engineering,9.8,84651.0,no
356,Finance,5.6,77207.0,no
357,Support,11.8,64967.0,yes
358,Support,10.5,62487.0,yes
359,Engineering,2.4,68677.0,yes
360,Engineering,9.4,47270.0,no
361,Engineering,7.2,78711.0,yes
362,Engineering,6.4,81411.0,no
363,Finance,6.2,46033.0,yes
364,Sales,10.2,84169.0,no
365,Support,7.3,80924.0,no
366,Finance,6.5,55469.0,no
367,Finance,0.6,84540.0,no
368,Sales,5.4,37226.0,no
369,Sales,10.9,31679.0,no
370,Sales,8.5,50872.0,no
371,Engineering,0.6,63926.0,no
372,Finance,10.6,51087.0,no
373,Support,9.9,86524.0,yes
374,Sales,6.6,45283.0,no
375,Support,0.3,46873.0,no
376,Support,6.7,68090.0,no
377,Engineering,0.7,30232.0,no
378,Support,3.8,73653.0,no
379,Finance,7.5,52648.0,no
380,Support,11.0,88665.0,no
381,Support,4.3,71485.0,no
382,Engineering,10.3,33133.0,no
383,Support,11.0,35558.0,yes
384,Finance,0.3,35290.0,no
385,Sales,2.9,87157.0,no
386,Support,8.5,71043.0,no
387,Support,9.1,55656.0,no
388,Engineering,4.7,42029.0,no
389,Sales,7.9,82418.0,no
390,Finance,7.3,42093.0,no
391,Finance,8.9,72401.0,no
392,Sales,8.6,75799.0,no
393,Sales,1.0,47679.0,no
394,Finance,1.9,60295.0,no
395,Engineering,1.6,43379.0,no
396,Sales,11.2,52736.0,yes
397,Engineering,11.0,87908.0,yes
398,Engineering,9.6,71588.0,no
399,Support,1.4,80797.0,no
400,Sales,6.9,62436.0,no
401,Finance,2.2,44342.0,no
402,Finance,4.4,72773.0,no
403,Finance,3.2,60034.0,no
404,Support,9.9,40611.0,no
405,Support,1.7,54746.0,yes
406,Support,7.8,68090.0,no
407,Finance,11.8,74120.0,no
408,Engineering,8.2,44593.0,no
409,Support,1.0,82560.0,no
410,Engineering,10.9,52773.0,yes
411,Sales,7.7,46268.0,no
412,Sales,5.5,41707.0,no
413,Support,7.9,78250.0,no
414,Finance,10.5,51250.0,no
415,Engineering,5.7,59004.0,no
416,Support,6.4,43369.0,no
417,Engineering,5.4,71165.0,yes
418,Engineering,0.9,76862.0,no
419,Sales,9.4,50366.0,no
420,Support,1.5,86705.0,no
421,Engineering,4.7,31837.0,no
422,Sales,4.6,37977.0,no
423,Finance,3.4,65327.0,no
424,Sales,4.8,72084.0,yes
425,Finance,7.4,45041.0,no
426,Finance,3.7,63244.0,no
427,Sales,2.1,49103.0,no
428,Support,10.4,63245.0,no
429,Support,11.6,69560.0,no
430,Sales,5.5,88368.0,no
431,Sales,3.9,57342.0,no
432,Sales,0.6,68893.0,yes
433,Engineering,0.4,64682.0,no
434,Engineering,4.7,49053.0,yes
435,Sales,11.2,45184.0,no
436,Finance,8.8,89272.0,no
437,Engineering,4.2,42411.0,no
438,Engineering,11.6,77417.0,no
439,Sales,5.1,38795.0,no
440,Support,3.3,78261.0,no
441,Engineering,5.1,41144.0,no
442,Engineering,2.5,88029.0,no
443,Engineering,10.6,71159.0,no
444,Sales,4.3,35407.0,yes
445,Engineering,7.9,71591.0,no
446,Finance,4.7,66217.0,no
447,Finance,10.8,50253.0,no
448,Sales,7.7,45644.0,no
449,Engineering,5.9,73126.0,yes
450,Engineering,1.6,74482.0,no
451,Sales,10.8,49632.0,no
452,Sales,6.6,82574.0,yes
453,Support,3.4,46130.0,no
454,Sales,10.5,34192.0,no
455,Sales,0.7,65992.0,no
456,Sales,3.8,36424.0,no
457,Support,6.4,46600.0,no
458,Support,4.1,60431.0,no
459,Engineering,5.7,47182.0,yes
460,Sales,3.2,42900.0,yes
461,Support,1.6,72191.0,yes
462,Support,0.4,62820.0,no
463,Support,1.9,80386.0,no
464,Support,11.4,64874.0,no
465,Support,6.9,59007.0,no
466,Sales,5.9,45675.0,no
467,Support,4.6,77524.0,no
468,Sales,8.5,41812.0,no
469,Sales,1.7,44534.0,yes
470,Engineering,3.3,80495.0,no
471,Sales,7.9,74472.0,yes
472,Engineering,5.7,66772.0,yes
473,Engineering,9.2,32335.0,no
474,Sales,10.8,37635.0,no
475,Support,9.9,59997.0,no
476,Finance,2.2,74780.0,no
477,Engineering,1.1,57846.0,no
478,Finance,2.0,31038.0,yes
479,Sales,9.4,41056.0,no
480,Support,11.0,65326.0,no
481,Support,11.1,71653.0,yes
482,Finance,3.6,32006.0,no
483,Engineering,10.1,32600.0,no
484,Finance,6.4,45679.0,no
485,Engineering,9.9,35010.0,no
486,Finance,6.6,62517.0,no
487,Support,1.8,37422.0,no
488,Sales,1.0,68893.0,no
489,Sales,11.5,76634.0,no
490,Engineering,5.1,88231.0,no
491,Finance,4.2,86904.0,no
492,Support,4.3,46402.0,no
493,Finance,4.5,31765.0,no
494,Support,11.3,49765.0,yes
495,Finance,0.8,72509.0,no
496,Finance,1.4,33588.0,yes
497,Sales,9.5,51583.0,no
498,Support,6.6,47882.0,no
499,Sales,1.5,43161.0,no
500,Finance,0.4,72368.0,no
