order_date,region,product,units,revenue
08 Mar 2024,East,Beta,26,1587.37
2024-03-09,North,Beta,17,1485.97
10/03/2024,South,Epsilon,16,1617.77
03-11-2024,East,Gamma,40,1734.41
12 Mar 2024,West,Gamma,59,1565.32
2024-03-13,North,Delta,45,1469.18
14/03/2024,North,Alpha,44,1475.56
03-15-2024,East,Epsilon,28,1651.62
16 Mar 2024,South,Beta,6,1591.01
2024-03-17,West,Delta,43,1672.17
18/03/2024,North,Gamma,48,1565.51
03-19-2024,South,Delta,31,1680.77
20 Mar 2024,North,Delta,6,1607.72
2024-03-21,East,Alpha,43,1567.79
22/03/2024,West,Alpha,55,1600.26
03-23-2024,North,Epsilon,14,1542.46
24 Mar 2024,South,Gamma,10,1803.21
2024-03-25,West,Beta,44,1642.12
26/03/2024,North,Alpha,20,1707.1
03-27-2024,West,Alpha,43,1618.25
28 Mar 2024,West,Epsilon,42,1582.64
2024-03-29,North,Epsilon,16,1653.61
30/03/2024,North,Beta,3,1765.9
03-31-2024,East,Beta,33,1641.56
01 Apr 2024,North,Gamma,25,1618.93
2024-04-02,East,Alpha,51,1706.31
03/04/2024,North,Gamma,22,1739.04
04-04-2024,East,Delta,15,1835.72
05 Apr 2024,South,Epsilon,51,1737.72
2024-04-06,East,Beta,44,1766.0
07/04/2024,West,Alpha,37,1777.03
04-08-2024,South,Alpha,57,1632.19
09 Apr 2024,East,Beta,47,1652.25
2024-04-10,East,Delta,52,1647.43
11/04/2024,West,Alpha,48,1632.34
04-12-2024,North,Delta,24,1807.26
13 Apr 2024,North,Gamma,4,1771.48
2024-04-14,South,Delta,36,1759.23
15/04/2024,East,Gamma,46,1549.99
04-16-2024,West,Alpha,59,1926.33
17 Apr 2024,South,Alpha,41,1694.77
2024-04-18,North,Gamma,34,1934.82
19/04/2024,East,Gamma,34,1659.05
04-20-2024,East,Epsilon,7,1714.25
21 Apr 2024,South,Epsilon,1,1607.21
2024-04-22,North,Alpha,3,1816.55
23/04/2024,West,Beta,54,1703.57
04-24-2024,West,Beta,47,1709.86
25 Apr 2024,East,Alpha,16,1689.88
2024-04-26,East,Alpha,25,1865.8
27/04/2024,South,Alpha,29,1864.4
04-28-2024,South,Gamma,15,1956.26
29 Apr 2024,North,Alpha,25,1760.21
2024-04-30,North,Alpha,21,1836.28
01/05/2024,South,Alpha,41,1719.29
05-02-2024,South,Delta,45,1799.25
03 May 2024,North,Delta,6,1788.1
2024-05-04,West,Epsilon,28,1870.27
05/05/2024,South,Alpha,59,1917.94
05-06-2024,East,Beta,52,1919.28
07 May 2024,South,Gamma,47,1775.93
2024-05-08,South,Delta,44,1926.55
09/05/2024,West,Alpha,1,1846.41
05-10-2024,East,Beta,58,1827.19
11 May 2024,West,Gamma,44,1799.65
2024-05-12,South,Alpha,53,1814.67
13/05/2024,South,Beta,54,2001.94
05-14-2024,South,Delta,16,1890.18
15 May 2024,East,Gamma,1,1882.56
2024-05-16,South,Gamma,39,1850.57
17/05/2024,South,Gamma,28,2070.14
05-18-2024,North,Epsilon,2,1981.73
19 May 2024,East,Gamma,16,1822.48
2024-05-20,East,Gamma,59,1861.07
21/05/2024,East,Epsilon,22,1868.57
05-22-2024,West,Alpha,16,1900.1
23 May 2024,West,Alpha,39,1835.01
2024-05-24,West,Gamma,40,1928.86
25/05/2024,North,Beta,20,2012.53
05-26-2024,West,Beta,51,1793.84
27 May 2024,South,Alpha,35,1811.22
2024-05-28,South,Epsilon,10,1865.32
29/05/2024,South,Delta,20,1871.5
