date,region,product,units,revenue
2023-05-30,North,Epsilon,29,1226.45
2024-12-16,North,Delta,5,1666.01
2023-09-21,West,Delta,21,1080.22
2023-03-19,North,Gamma,44,1365.87
2024-12-13,South,Alpha,8,1776.99
2023-03-17,East,Delta,26,1269.8
2023-11-29,South,Epsilon,32,1344.26
2023-02-13,South,Alpha,48,1271.78
2024-06-16,West,Epsilon,9,1654.34
2024-06-26,North,Delta,2,1801.9
2024-07-02,South,Epsilon,17,1569.91
2024-07-23,South,Gamma,30,1451.29
2024-05-23,South,Epsilon,39,1836.88
2023-07-30,South,Delta,6,1080.65
2023-04-07,West,Beta,33,1466.04
2023-09-27,West,Beta,42,1109.71
2023-01-11,North,Gamma,58,943.54
2023-10-07,West,Alpha,37,1013.69
2023-06-02,South,Beta,42,1280.75
2024-12-15,East,Alpha,34,1758.91
2024-04-21,East,Delta,10,1731.97
2024-10-22,West,Gamma,37,1635.75
2024-02-21,South,Epsilon,50,1734.84
2023-05-21,West,Alpha,51,1457.61
2023-07-13,West,Gamma,18,1288.68
2024-08-29,East,Epsilon,59,1456.49
2024-07-26,East,Epsilon,29,1482.18
2024-05-04,West,Gamma,44,1835.38
2023-06-02,South,Beta,42,1280.75
2023-12-05,North,Delta,35,1247.69
2023-05-11,North,Alpha,57,1375.27
2024-05-07,East,Gamma,2,1677.92
2024-09-07,West,Alpha,45,1510.78
2023-09-24,South,Delta,19,1106.28
2024-11-25,East,Alpha,4,1677.4
2024-05-04,West,Gamma,44,1835.38
2024-04-15,East,Beta,11,1727.37
2023-07-18,South,Gamma,32,1353.1
2024-12-07,North,Alpha,31,1675.81
2023-11-24,North,Beta,5,1276.52
2023-06-26,North,Gamma,11,1329.76
2024-07-20,North,Gamma,47,1640.27
2023-01-16,North,Epsilon,50,1035.58
2024-02-06,South,Gamma,39,1668.41
2023-06-20,South,Alpha,24,1171.64
2023-01-21,North,Alpha,1,1057.98
2024-09-22,West,Beta,28,1404.52
2023-10-06,East,Alpha,59,1004.68
2024-04-30,South,Alpha,57,1565.36
2024-09-18,West,Alpha,32,1353.14
2024-09-01,East,Beta,12,1586.86
2024-11-24,North,Delta,20,1611.88
2023-01-11,North,Gamma,58,943.54
2023-04-07,West,Beta,33,1466.04
2023-07-03,North,Epsilon,26,1287.31
2023-11-14,South,Alpha,31,1268.69
2024-07-22,South,Beta,45,1387.85
2024-12-30,East,Beta,33,1720.18
2024-02-10,North,Gamma,10,1569.22
2023-08-20,East,Beta,35,1182.98
2023-04-07,West,Beta,33,1466.04
2024-05-20,East,Epsilon,28,1727.96
2023-01-26,South,Delta,43,951.41
2024-05-12,West,Delta,42,1754.23
2023-05-22,West,Beta,11,1320.99
2023-08-01,South,Epsilon,46,1018.53
2024-09-20,South,Gamma,41,1575.92
2024-10-08,East,Delta,56,1458.32
2024-12-18,West,Epsilon,32,1671.58
2024-11-27,North,Gamma,28,1646.41
2024-06-20,South,Epsilon,32,1751.44
2023-05-18,East,Beta,39,1313.99
2024-03-26,South,Gamma,42,1580.47
2023-07-19,South,Alpha,52,1074.9
2023-11-22,East,Gamma,47,1276.12
2024-02-25,West,Gamma,31,1570.92
2023-01-22,South,Delta,40,1123.16
2023-10-24,West,Delta,31,1102.77
2023-03-19,North,Gamma,44,1365.87
2023-08-08,East,Gamma,12,1175.7
2024-11-20,East,Beta,56,1613.29
2024-01-05,South,Alpha,53,1298.86
2023-10-31,South,Gamma,5,1244.98
2024-04-06,North,Gamma,5,1704.85
2024-02-29,South,Gamma,53,1457.55
2024-04-07,East,Beta,41,1526.87
2024-07-11,East,Gamma,55,1554.11
2024-10-18,East,Epsilon,49,1540.01
2023-08-23,West,Delta,34,1111.3
2024-07-11,East,Gamma,55,1554.11
2024-03-27,South,Beta,15,1776.07
2023-11-19,East,Epsilon,2,1207.36
2023-10-30,East,Epsilon,30,1165.0
2024-01-20,West,Gamma,59,1480.26
2024-02-18,South,Alpha,59,1515.66
2023-03-05,North,Epsilon,48,1257.36
2024-07-01,West,Epsilon,55,1664.54
2024-04-22,South,Gamma,49,1601.67
2024-06-29,South,Delta,30,1506.87
2024-10-04,West,Alpha,33,1442.28
2024-04-13,South,Delta,41,1781.81
2024-08-18,North,Beta,47,1543.9
2023-02-18,North,Alpha,37,1300.54
2023-10-16,East,Alpha,54,1234.09
2023-09-11,South,Epsilon,53,1106.16
2024-10-30,South,Alpha,24,1459.31
2023-02-25,North,Beta,33,1346.31
2024-12-23,South,Gamma,46,1770.58
2023-10-15,South,Epsilon,31,1317.43
2023-01-29,North,Gamma,11,1104.01
2023-08-11,East,Epsilon,35,1154.43
2023-11-27,West,Epsilon,15,1198.12
2023-05-17,West,Delta,27,1403.4
2023-04-20,North,Delta,53,1338.09
2024-09-03,East,Beta,16,1689.34
2023-02-02,East,Epsilon,22,1139.79
2024-06-04,West,Delta,16,1654.81
2024-08-19,East,Delta,8,1545.7
2024-07-16,North,Epsilon,25,1573.95
2024-08-14,East,Gamma,58,1439.11
2023-06-19,North,Alpha,46,1173.79
2024-09-12,West,Gamma,24,1506.45
2023-07-31,North,Epsilon,44,1106.94
2023-01-25,West,Gamma,27,1112.64
2023-04-24,East,Epsilon,42,1399.65
2023-02-14,East,Epsilon,9,1364.95
2023-09-29,South,Gamma,33,958.74
2024-11-01,West,Gamma,49,1579.75
2024-04-20,East,Delta,30,1773.96
2024-05-14,North,Alpha,33,1600.15
2023-09-09,North,Beta,37,1156.35
2024-10-28,West,Delta,51,1541.46
2023-08-24,North,Epsilon,28,958.47
2023-03-28,South,Delta,29,1164.07
2024-01-27,West,Epsilon,46,1565.1
2023-02-23,North,Beta,12,1315.78
2024-03-07,East,Delta,5,1715.93
2024-03-20,West,Delta,4,1586.64
2023-10-18,North,Delta,44,1178.6
2023-04-11,North,Beta,24,1298.31
2024-03-27,South,Beta,15,1776.07
2024-12-24,South,Alpha,27,1834.1
2023-08-18,North,Delta,26,1204.39
2024-08-29,East,Epsilon,59,1456.49
2023-06-16,South,Delta,54,1309.71
2024-11-18,North,Epsilon,14,1664.01
2023-08-20,East,Beta,35,1182.98
2023-03-21,North,Beta,15,1374.78
2024-07-29,South,Gamma,42,1596.07
2023-03-29,North,Beta,39,1344.3
2024-02-21,South,Epsilon,50,1734.84
2024-12-15,East,Alpha,34,1758.91
2024-12-07,North,Alpha,31,1675.81
2024-12-29,West,Beta,50,1825.0
2024-11-01,West,Gamma,49,1579.75
2024-10-19,South,Epsilon,17,1428.16
2023-11-21,West,Epsilon,41,1438.66
2023-07-08,South,Epsilon,27,1137.61
2024-05-15,East,Beta,11,1752.84
2023-07-26,East,Gamma,5,1068.59
2023-05-26,West,Delta,7,1375.99
2023-06-17,West,Gamma,53,1171.35
2023-06-13,East,Gamma,44,1093.32
2024-04-10,West,Epsilon,12,1833.59
2024-10-30,South,Alpha,24,1459.31
2024-10-24,South,Epsilon,56,1605.73
2024-11-12,East,Gamma,20,1603.88
2024-04-03,East,Beta,34,1745.9
2024-12-18,West,Epsilon,32,1671.58
2023-11-23,North,Beta,26,1198.34
2024-10-27,East,Delta,2,1497.71
2023-08-19,West,Epsilon,18,1086.79
2023-08-29,South,Beta,6,1012.07
2023-02-18,North,Alpha,37,1300.54
2024-11-21,South,Alpha,7,1874.73
2023-10-28,West,Epsilon,2,1119.01
2024-09-09,South,Alpha,31,1656.06
2023-07-02,West,Delta,39,1198.86
2023-09-14,East,Beta,30,860.44
2023-12-09,North,Beta,54,1259.31
2024-05-18,South,Alpha,48,1518.13
2023-10-03,East,Alpha,24,1029.52
2024-09-16,South,Gamma,35,1421.92
2023-02-21,South,Beta,59,1292.64
2023-05-19,East,Beta,49,1337.77
2023-05-04,West,Epsilon,21,1298.33
2023-11-21,West,Epsilon,41,1438.66
2024-02-12,North,Gamma,56,1554.28
2023-09-28,North,Beta,57,1199.75
2024-12-04,North,Epsilon,57,1635.53
2024-06-17,West,Alpha,10,1525.65
2023-06-24,North,Delta,25,1204.69
2024-01-16,South,Gamma,33,1549.82
2023-05-12,West,Gamma,11,1289.78
2024-03-16,South,Delta,45,1709.68
2023-07-28,East,Epsilon,11,1176.58
2024-07-20,North,Gamma,47,1640.27
2024-08-06,West,Epsilon,56,1609.97
2024-05-23,South,Epsilon,39,1836.88
2024-06-10,East,Gamma,12,1636.71
2024-12-18,West,Epsilon,32,1671.58
2023-05-24,North,Delta,19,1151.6
2024-02-14,South,Beta,14,1471.16
2024-12-25,North,Gamma,52,1635.57
2024-05-20,East,Epsilon,28,1727.96
2024-09-18,West,Alpha,32,1353.14
2024-07-10,North,Alpha,49,1662.86
2023-02-07,East,Gamma,18,1272.45
2023-05-31,West,Gamma,58,1381.03
2024-04-20,East,Delta,30,1773.96
2024-03-14,East,Beta,45,1645.26
2023-11-29,South,Epsilon,32,1344.26
2024-06-08,North,Delta,2,1676.36
2024-01-12,South,Epsilon,18,1607.57
2023-11-12,East,Epsilon,4,1050.08
2024-12-28,South,Alpha,27,1840.23
2024-02-28,South,Delta,6,1643.45
2024-09-29,South,Delta,43,1511.39
2023-02-13,South,Alpha,48,1271.78
2024-04-05,East,Gamma,11,1855.19
2024-08-26,East,Alpha,59,1460.68
2024-09-16,South,Gamma,35,1421.92
2023-09-11,South,Epsilon,53,1106.16
2024-02-22,East,Delta,54,1620.89
2023-06-21,East,Delta,24,1346.99
2024-02-15,South,Gamma,5,1642.82
2024-11-27,North,Gamma,28,1646.41
2024-08-08,North,Beta,53,1530.46
2023-11-05,North,Delta,47,1243.05
2024-08-24,West,Epsilon,54,1426.29
2024-06-23,West,Gamma,40,1668.91
2023-02-13,South,Alpha,48,1271.78
2023-01-02,North,Beta,26,1051.27
2023-12-05,North,Delta,35,1247.69
2023-05-08,West,Alpha,5,1402.15
2024-08-29,East,Epsilon,59,1456.49
2024-02-15,South,Gamma,5,1642.82
2024-06-26,North,Delta,2,1801.9
2023-03-06,South,Beta,27,1203.17
2023-05-31,West,Gamma,58,1381.03
2024-09-02,East,Gamma,5,1508.0
2024-10-05,South,Epsilon,11,1652.48
2023-03-12,South,Alpha,14,1407.32
2024-10-14,West,Beta,48,1605.54
2023-10-23,South,Beta,9,1221.65
2023-08-19,West,Epsilon,18,1086.79
2023-03-25,West,Gamma,42,1275.51
2023-06-26,North,Gamma,11,1329.76
2023-11-14,South,Alpha,31,1268.69
2024-03-30,West,Delta,27,1701.46
2023-06-14,West,Gamma,42,1185.37
2023-10-07,West,Alpha,37,1013.69
2024-02-11,North,Alpha,5,1587.89
2024-03-26,South,Gamma,42,1580.47
2024-09-26,South,Delta,59,1555.35
2024-04-21,East,Delta,10,1731.97
2023-09-07,North,Alpha,19,1158.55
2024-05-05,South,Beta,58,1804.37
2023-12-18,North,Gamma,38,1409.93
2024-07-19,West,Beta,33,1507.38
2024-11-12,East,Gamma,20,1603.88
2024-03-17,West,Epsilon,14,1670.4
2024-01-01,South,Gamma,24,1286.99
2024-12-17,West,Gamma,14,1690.97
2023-12-29,South,Beta,2,1346.81
2023-04-16,South,Alpha,32,1140.94
2023-02-06,East,Epsilon,15,1226.22
2023-04-23,West,Beta,45,1443.74
2023-05-25,West,Alpha,57,1212.81
2023-06-08,South,Gamma,8,1145.98
2023-04-26,West,Beta,40,1324.54
2024-09-10,West,Epsilon,48,1422.21
2023-08-01,South,Epsilon,46,1018.53
2024-03-01,South,Gamma,40,1534.04
2023-12-04,South,Delta,43,1233.33
2023-08-02,South,Delta,34,1097.16
2023-04-04,South,Beta,46,1298.2
2023-06-14,West,Gamma,42,1185.37
2024-09-13,West,Delta,13,1364.22
2023-10-30,East,Epsilon,30,1165.0
2023-11-25,West,Gamma,25,1162.29
2024-06-24,South,Alpha,5,1745.53
2024-10-04,West,Alpha,33,1442.28
2024-02-02,North,Epsilon,29,1606.1
2024-03-01,South,Gamma,40,1534.04
2023-10-20,West,Gamma,37,988.99
2023-06-18,East,Alpha,11,1363.4
2023-01-19,South,Alpha,15,1085.25
2023-08-14,South,Delta,20,1236.41
2023-11-16,East,Delta,26,1287.06
2024-05-14,North,Alpha,33,1600.15
2024-07-12,East,Alpha,41,1632.63
2023-12-27,East,Alpha,15,1351.3
2023-08-06,North,Alpha,9,1122.21
2023-04-23,West,Beta,45,1443.74
2024-05-26,East,Beta,58,1700.16
2023-12-24,East,Alpha,10,1389.16
2024-05-29,West,Epsilon,29,1542.51
2023-04-09,East,Gamma,8,1345.78
2024-12-19,East,Delta,44,1654.39
2024-12-16,North,Delta,5,1666.01
2024-03-18,West,Delta,12,1626.77
2024-11-13,West,Alpha,4,1553.29
2023-08-21,North,Beta,39,1046.96
2024-07-24,West,Delta,59,1667.34
2024-02-05,West,Delta,48,1669.52
2024-07-03,South,Epsilon,35,1694.22
2023-08-26,South,Delta,19,1200.05
2024-05-03,West,Epsilon,16,1644.68
2023-08-23,West,Delta,34,1111.3
2024-06-02,West,Gamma,43,1660.4
2023-04-07,West,Beta,33,1466.04
2024-10-16,South,Alpha,16,1528.85
2023-04-11,North,Beta,24,1298.31
2023-12-10,West,Alpha,3,1392.94
2023-07-23,West,Delta,2,1149.22
2024-12-04,North,Epsilon,57,1635.53
2024-01-15,North,Epsilon,8,1393.73
2024-06-28,North,Gamma,28,1544.69
2024-09-14,West,Gamma,27,1551.7
2024-11-20,East,Beta,56,1613.29
2023-05-09,South,Alpha,43,1409.67
2024-10-24,South,Epsilon,56,1605.73
2023-04-08,North,Alpha,48,1166.33
2024-03-30,West,Delta,27,1701.46
2024-11-07,North,Alpha,4,1616.23
2024-10-30,South,Alpha,24,1459.31
2024-04-30,South,Alpha,57,1565.36
2024-07-18,East,Delta,49,1514.7
2024-09-06,West,Epsilon,5,1490.85
2024-05-13,East,Gamma,4,1788.5
2024-01-13,North,Beta,43,1324.92
2024-06-03,West,Beta,25,1743.3
2024-04-14,South,Beta,28,1651.4
2023-09-30,East,Beta,48,1112.89
2024-10-31,South,Alpha,35,1588.72
2024-03-21,North,Alpha,32,1763.51
2023-12-27,East,Alpha,15,1351.3
2024-06-26,North,Delta,2,1801.9
2023-05-17,West,Delta,27,1403.4
2023-06-18,East,Alpha,11,1363.4
2023-06-08,South,Gamma,8,1145.98
2024-02-12,North,Gamma,56,1554.28
2024-03-26,South,Gamma,42,1580.47
2024-12-05,North,Gamma,2,1626.28
2023-05-21,West,Alpha,51,1457.61
2024-10-19,South,Epsilon,17,1428.16
2024-02-22,East,Delta,54,1620.89
2024-06-06,East,Epsilon,51,1608.33
2023-01-29,North,Gamma,11,1104.01
2024-10-07,East,Beta,46,1615.57
2023-02-12,South,Alpha,30,1119.95
2024-08-21,South,Gamma,53,1615.5
2023-11-09,North,Delta,32,1257.0
2024-08-13,West,Beta,1,1502.18
2024-01-09,North,Delta,18,1440.9
2024-12-22,South,Gamma,59,1841.07
2024-12-13,South,Alpha,8,1776.99
2024-05-16,East,Epsilon,29,1667.57
2024-02-01,North,Delta,29,1489.52
2023-06-03,East,Gamma,45,1356.77
2023-11-30,South,Gamma,20,1293.8
2023-09-18,East,Alpha,16,1146.78
2024-10-29,South,Alpha,45,1490.51
2024-10-05,South,Epsilon,11,1652.48
2024-11-29,West,Alpha,50,1682.7
2024-06-08,North,Delta,2,1676.36
2023-05-11,North,Alpha,57,1375.27
2023-12-19,East,Delta,17,1265.9
2023-11-14,South,Alpha,31,1268.69
2024-02-04,East,Delta,58,1538.72
2023-12-23,North,Gamma,24,1209.14
2024-05-21,East,Alpha,32,1693.05
2023-06-08,South,Gamma,8,1145.98
2024-10-07,East,Beta,46,1615.57
2023-05-25,West,Alpha,57,1212.81
2024-08-31,East,Beta,36,1467.89
2024-03-03,West,Beta,53,1578.83
2023-10-15,South,Epsilon,31,1317.43
2024-09-03,East,Beta,16,1689.34
2023-10-28,West,Epsilon,2,1119.01
2024-06-17,West,Alpha,10,1525.65
2024-06-29,South,Delta,30,1506.87
2023-01-05,South,Gamma,28,1028.74
2024-07-05,West,Delta,44,1746.92
2023-05-05,North,Gamma,16,1333.93
2023-03-09,North,Delta,20,1302.08
2023-06-12,East,Beta,17,1212.64
2023-06-12,East,Beta,17,1212.64
2023-02-12,South,Alpha,30,1119.95
2024-12-23,South,Gamma,46,1770.58
2023-02-08,East,Gamma,32,1165.86
2024-01-14,West,Delta,47,1662.03
2024-11-19,South,Beta,55,1782.48
2023-05-03,East,Alpha,15,1319.53
2024-12-22,South,Gamma,59,1841.07
2024-05-25,West,Gamma,47,1675.31
2024-05-21,East,Alpha,32,1693.05
2023-08-19,West,Epsilon,18,1086.79
2023-08-08,East,Gamma,12,1175.7
2024-05-16,East,Epsilon,29,1667.57
2024-01-28,East,Gamma,8,1581.37
2023-10-24,West,Delta,31,1102.77
2023-07-17,North,Gamma,28,1187.2
2024-06-01,South,Epsilon,32,1827.43
2023-01-08,North,Gamma,28,887.73
2024-04-07,East,Beta,41,1526.87
2023-12-01,East,Alpha,26,1274.65
2024-06-29,South,Delta,30,1506.87
2024-06-23,West,Gamma,40,1668.91
2024-11-22,South,Gamma,39,1617.79
2023-03-19,North,Gamma,44,1365.87
2023-01-31,West,Alpha,43,1064.09
2023-06-24,North,Delta,25,1204.69
2023-01-10,North,Beta,53,943.36
2023-12-20,West,Gamma,32,1280.47
2023-08-16,South,Epsilon,31,966.5
2024-08-15,East,Gamma,21,1469.54
2023-10-12,North,Alpha,29,1083.05
2024-11-08,South,Alpha,49,1528.32
2024-03-24,East,Epsilon,12,1754.74
2024-02-26,North,Gamma,55,1542.27
2024-02-07,West,Delta,7,1582.25
2023-12-01,East,Alpha,26,1274.65
2023-12-26,North,Alpha,2,1325.18
2024-03-30,West,Delta,27,1701.46
2023-02-22,North,Beta,11,1253.93
2024-01-30,North,Beta,42,1447.45
2023-03-05,North,Epsilon,48,1257.36
2024-09-27,West,Gamma,19,1404.16
2024-10-20,West,Beta,1,1468.84
2023-06-07,South,Alpha,13,1320.68
2024-05-19,West,Alpha,52,1605.5
2023-02-09,East,Delta,34,1235.04
2024-07-20,North,Gamma,47,1640.27
2023-01-30,West,Beta,39,1275.84
2023-07-03,North,Epsilon,26,1287.31
2023-12-26,North,Alpha,2,1325.18
2023-12-13,West,Alpha,27,1297.33
2024-02-01,North,Delta,29,1489.52
2023-05-26,West,Delta,7,1375.99
2023-03-13,East,Gamma,58,1249.88
2024-08-26,East,Alpha,59,1460.68
2024-01-16,South,Gamma,33,1549.82
2024-04-12,East,Gamma,16,1626.87
2023-07-04,East,Epsilon,34,1290.35
2024-07-17,East,Delta,30,1641.22
2024-12-17,West,Gamma,14,1690.97
2024-07-28,West,Epsilon,48,1540.22
2023-04-13,North,Delta,19,1141.1
2023-06-29,South,Delta,49,1212.67
2024-08-31,East,Beta,36,1467.89
2024-06-26,North,Delta,2,1801.9
2023-05-31,West,Gamma,58,1381.03
2023-09-19,West,Delta,52,1084.64
2024-04-20,East,Delta,30,1773.96
2023-04-06,West,Epsilon,13,1278.65
2023-12-28,West,Beta,43,1351.34
2024-02-11,North,Alpha,5,1587.89
2024-12-17,West,Gamma,14,1690.97
2023-04-27,East,Beta,55,1343.25
2024-01-01,South,Gamma,24,1286.99
2023-01-23,North,Epsilon,6,1147.96
2024-02-07,West,Delta,7,1582.25
2023-08-10,East,Beta,13,1080.03
2023-10-13,North,Beta,34,1041.49
2023-01-19,South,Alpha,15,1085.25
2023-02-22,North,Beta,11,1253.93
2023-05-03,East,Alpha,15,1319.53
2024-06-27,West,Gamma,34,1569.52
2023-11-02,West,Delta,45,1215.46
2024-04-12,East,Gamma,16,1626.87
2024-01-13,North,Beta,43,1324.92
2023-06-23,South,Beta,36,1175.25
2023-12-09,North,Beta,54,1259.31
2023-07-19,South,Alpha,52,1074.9
2024-11-19,South,Beta,55,1782.48
2024-02-17,West,Beta,43,1843.9
2024-12-24,South,Alpha,27,1834.1
2023-05-28,East,Beta,26,1120.42
2024-08-14,East,Gamma,58,1439.11
2023-12-11,West,Alpha,5,1363.28
2023-08-03,East,Beta,50,1138.63
2024-06-07,West,Gamma,19,1662.53
2023-08-18,North,Delta,26,1204.39
2024-03-25,South,Epsilon,45,1646.72
2024-08-28,East,Beta,35,1459.84
2023-09-29,South,Gamma,33,958.74
2024-11-22,South,Gamma,39,1617.79
2024-07-11,East,Gamma,55,1554.11
2024-01-07,West,Gamma,12,1485.24
2024-03-23,South,Alpha,44,1619.47
2024-10-24,South,Epsilon,56,1605.73
2023-04-20,North,Delta,53,1338.09
2024-09-07,West,Alpha,45,1510.78
2024-04-11,North,Beta,58,1854.49
2023-06-18,East,Alpha,11,1363.4
2024-11-15,West,Delta,44,1520.19
2023-10-01,North,Beta,36,1052.76
2024-08-23,West,Beta,10,1424.8
2023-08-19,West,Epsilon,18,1086.79
2023-08-29,South,Beta,6,1012.07
2023-12-20,West,Gamma,32,1280.47
2023-03-24,West,Epsilon,39,1299.59
2024-05-15,East,Beta,11,1752.84
2023-01-15,North,Delta,5,1004.47
2024-11-07,North,Alpha,4,1616.23
2023-01-27,West,Gamma,21,1135.06
2023-12-11,West,Alpha,5,1363.28
2024-05-16,East,Epsilon,29,1667.57
2023-01-23,North,Epsilon,6,1147.96
2024-06-17,West,Alpha,10,1525.65
2023-07-16,South,Epsilon,19,1125.04
2024-11-19,South,Beta,55,1782.48
2023-04-29,South,Alpha,29,1344.78
2023-05-27,East,Gamma,24,1298.21
2023-12-20,West,Gamma,32,1280.47
2024-10-13,East,Beta,52,1581.93
2024-10-13,East,Beta,52,1581.93
2024-01-13,North,Beta,43,1324.92
2024-03-12,South,Delta,37,1678.86
2024-08-03,South,Gamma,3,1573.62
2023-06-23,South,Beta,36,1175.25
2023-07-12,North,Delta,17,1098.65
2023-03-31,North,Beta,23,1336.04
2024-07-06,North,Beta,53,1463.47
2023-09-04,South,Gamma,55,1102.7
2023-10-17,West,Gamma,38,1056.5
2024-07-24,West,Delta,59,1667.34
2023-09-21,West,Delta,21,1080.22
2023-06-12,East,Beta,17,1212.64
2023-05-13,South,Beta,40,1322.78
2024-01-25,North,Beta,11,1496.84
2023-04-29,South,Alpha,29,1344.78
2023-06-28,East,Delta,2,1204.41
2024-08-11,West,Beta,42,1508.88
2024-03-05,West,Alpha,41,1675.09
2023-09-12,West,Epsilon,46,1075.16
2023-12-19,East,Delta,17,1265.9
2023-04-25,East,Gamma,8,1233.4
2024-01-17,North,Epsilon,21,1553.4
2023-04-03,South,Beta,21,1363.87
2023-11-24,North,Beta,5,1276.52
2024-10-27,East,Delta,2,1497.71
2024-05-04,West,Gamma,44,1835.38
2023-09-05,South,Alpha,29,1122.09
2023-01-02,North,Beta,26,1051.27
2023-09-27,West,Beta,42,1109.71
2023-04-27,East,Beta,55,1343.25
2023-02-08,East,Gamma,32,1165.86
2023-08-02,South,Delta,34,1097.16
2024-02-16,South,Beta,25,1533.01
2024-11-09,North,Beta,12,1619.25
2023-06-11,South,Alpha,39,1197.92
2024-02-20,South,Epsilon,36,1650.04
2023-09-03,East,Epsilon,35,1131.14
2023-04-24,East,Epsilon,42,1399.65
2024-09-18,West,Alpha,32,1353.14
2023-10-22,East,Beta,26,1228.43
2023-01-29,North,Gamma,11,1104.01
2024-12-16,North,Delta,5,1666.01
2024-09-18,West,Alpha,32,1353.14
2023-02-01,South,Gamma,16,1156.03
2023-06-29,South,Delta,49,1212.67
2023-03-08,North,Beta,6,1370.07
2023-01-01,South,Delta,5,971.19
2024-01-02,North,Alpha,32,1470.92
2024-03-03,West,Beta,53,1578.83
2023-12-31,South,Beta,24,1355.77
2023-05-25,West,Alpha,57,1212.81
2024-01-17,North,Epsilon,21,1553.4
2023-08-13,East,Gamma,37,1141.84
2023-10-25,North,Beta,9,1129.47
2023-06-02,South,Beta,42,1280.75
