sku,warehouse,on_hand,reorder_point,unit_cost
SKU-0309,C,365,46,63.71
SKU-0310,C,362,96,13.53
SKU-0311,C,428,107,75.93
SKU-0312,B,283,98,38.16
SKU-0313,B,365,69,27.04
SKU-0314,B,200,89,56.3
SKU-0315,C,348,114,6.2
SKU-0316,C,347,25,46.89
SKU-0317,C,389,110,80.94
SKU-0318,B,428,92,88.53
SKU-0319,C,1,58,35.83
SKU-0320,C,389,64,62.82
SKU-0321,C,396,63,25.41
SKU-0322,B,272,35,55.42
SKU-0323,B,259,43,27.86
SKU-0324,B,361,49,56.42
SKU-0325,B,227,20,20.45
SKU-0326,B,206,70,89.71
SKU-0327,A,401,67,84.82
SKU-0328,C,394,52,35.32
SKU-0329,B,103,37,74.9
SKU-0330,C,414,116,13.6
SKU-0331,A,163,87,71.63
SKU-0332,C,68,67,30.42
SKU-0333,C,439,92,17.21
SKU-0334,A,119,57,66.04
SKU-0335,B,101,41,47.28
SKU-0336,C,134,87,52.71
SKU-0337,C,245,97,51.85
SKU-0338,C,83,85,10.35
SKU-0339,B,79,76,9.62
SKU-0340,A,196,20,59.11
SKU-0341,C,108,83,61.15
SKU-0342,C,96,81,9.25
SKU-0343,C,456,61,39.06
SKU-0344,A,297,44,60.16
SKU-0345,B,6,117,64.1
SKU-0346,A,50,57,79.54
SKU-0347,C,406,47,42.87
SKU-0348,C,134,90,54.34
SKU-0349,A,76,68,57.07
SKU-0350,A,332,75,33.08
SKU-0351,B,419,84,9.84
SKU-0352,B,199,56,5.38
SKU-0353,B,371,35,80.25
SKU-0354,B,210,36,23.02
SKU-0355,C,54,113,61.72
SKU-0356,C,398,70,56.93
SKU-0357,C,459,61,40.97
SKU-0358,B,492,51,80.01
SKU-0359,C,50,92,67.86
SKU-0360,C,282,111,7.05
SKU-0361,A,311,96,74.9
SKU-0362,C,39,73,50.63
SKU-0363,B,475,67,36.23
SKU-0364,B,51,106,70.42
SKU-0365,C,134,105,66.75
SKU-0366,C,484,59,32.95
SKU-0367,C,278,116,93.47
SKU-0368,C,339,102,63.38
SKU-0369,B,246,104,59.52
SKU-0370,B,376,25,11.29
SKU-0371,B,40,33,30.14
SKU-0372,C,337,49,45.23
SKU-0373,A,33,96,61.76
SKU-0374,B,89,27,51.15
SKU-0375,C,253,28,73.67
SKU-0376,A,224,23,28.63
SKU-0377,B,76,39,68.19
SKU-0378,A,399,111,78.49
SKU-0379,A,150,92,73.85
SKU-0380,B,433,91,74.38
SKU-0381,A,7,49,84.97
SKU-0382,A,118,82,12.58
SKU-0383,B,148,97,67.75
SKU-0384,B,297,73,92.18
SKU-0385,A,200,105,56.63
SKU-0386,B,78,76,24.56
SKU-0387,A,285,52,94.89
SKU-0388,B,479,83,20.72
SKU-0389,A,66,114,35.2
SKU-0390,A,126,102,20.49
SKU-0391,B,239,69,46.81
SKU-0392,C,363,79,42.7
SKU-0393,B,68,117,49.21
SKU-0394,B,115,94,88.52
SKU-0395,B,117,70,48.05
SKU-0396,A,308,48,51.32
SKU-0397,A,41,110,84.8
SKU-0398,B,329,117,78.6
SKU-0399,B,212,27,26.57
